customer_id,product_id,reorder_frequency_days,last_ordered_date,source_system
CUST-0015,SKU-0010,12,2026-01-27,Salesforce
CUST-0019,SKU-0013,0,2026-01-15,Salesforce
CUST-0032,SKU-0046,90,2026-07-26,Salesforce
CUST-0055,SKU-0022,30,2025-09-15,Salesforce
CUST-0058,SKU-0017,26,2026-04-08,Salesforce
CUST-0060,SKU-0017,51,2026-07-24,Salesforce
CUST-0063,SKU-0057,38,2026-04-02,Salesforce
CUST-0075,SKU-0025,37,2026-05-16,Salesforce
CUST-0007,SKU-0049,27,2026-01-21,Salesforce
CUST-0035,SKU-0059,14,2026-01-14,Salesforce
CUST-0041,SKU-0002,93,2026-07-11,Salesforce
CUST-0058,SKU-0019,257,2026-04-23,Salesforce
CUST-0066,SKU-0044,176,2026-03-03,Salesforce
CUST-0076,SKU-0035,69,2026-02-12,Salesforce
CUST-0003,SKU-0058,78,2025-09-22,Salesforce
CUST-0009,SKU-0006,94,2026-06-19,Salesforce
CUST-0011,SKU-0050,89,2026-05-21,Salesforce
CUST-0014,SKU-0051,109,2026-05-12,Salesforce
CUST-0023,SKU-0018,25,2026-05-09,Salesforce
CUST-0025,SKU-0015,63,2025-10-29,Salesforce
CUST-0029,SKU-0056,86,2026-05-28,Salesforce
CUST-0054,SKU-0019,92,2026-06-09,Salesforce
CUST-0057,SKU-0014,167,2026-06-17,Salesforce
CUST-0004,SKU-0008,207,2026-05-21,Salesforce
CUST-0013,SKU-0039,214,2026-06-02,Salesforce
CUST-0026,SKU-0014,92,2026-03-23,Salesforce
CUST-0026,SKU-0055,63,2026-05-27,Salesforce
CUST-0043,SKU-0043,299,2026-07-14,Salesforce
CUST-0050,SKU-0040,9,2026-03-18,Salesforce
CUST-0061,SKU-0021,111,2026-05-07,Salesforce
CUST-0077,SKU-0057,35,2026-08-04,Salesforce
CUST-0008,SKU-0053,137,2026-07-17,Salesforce
CUST-0016,SKU-0017,131,2025-12-29,Salesforce
CUST-0027,SKU-0048,23,2026-02-07,Salesforce
CUST-0057,SKU-0028,49,2026-06-12,Salesforce
CUST-0063,SKU-0016,65,2026-07-02,Salesforce
CUST-0073,SKU-0003,97,2026-07-07,Salesforce
CUST-0006,SKU-0049,66,2025-12-06,Salesforce
CUST-0029,SKU-0046,139,2026-06-16,Salesforce
