customer_id,customer_name,segment,segment_label,dc_id,dc_name,region,city,profile_note,account_tier,source_system
CUST-0001,BP Fortitude Valley,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Fortitude Valley,"Single-serve, impulse buys, fuel-price sensitive",Silver,Salesforce
CUST-0002,Caltex Surfers Paradise,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Surfers Paradise,"Single-serve, impulse buys, fuel-price sensitive",Silver,SAP
CUST-0003,Shell Fortitude Valley,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Fortitude Valley,"Single-serve, impulse buys, fuel-price sensitive",Silver,Salesforce
CUST-0004,Ampol Ipswich,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Ipswich,"Single-serve, impulse buys, fuel-price sensitive",Silver,SAP
CUST-0005,7-Eleven Toowong,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Toowong,"Single-serve, impulse buys, fuel-price sensitive",Silver,Salesforce
CUST-0006,United Petroleum Ipswich,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Ipswich,"Single-serve, impulse buys, fuel-price sensitive",Silver,Salesforce
CUST-0007,Mobil Ipswich,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Ipswich,"Single-serve, impulse buys, fuel-price sensitive",Gold,SAP
CUST-0008,Metro Petroleum Fortitude Valley,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Fortitude Valley,"Single-serve, impulse buys, fuel-price sensitive",Gold,Salesforce
CUST-0009,EG Fuel Toowong,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Toowong,"Single-serve, impulse buys, fuel-price sensitive",Bronze,SAP
CUST-0010,OTR Surfers Paradise,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Surfers Paradise,"Single-serve, impulse buys, fuel-price sensitive",Bronze,SAP
CUST-0011,BP Gold Coast,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Gold Coast,"Single-serve, impulse buys, fuel-price sensitive",Bronze,SAP
CUST-0012,Caltex Surfers Paradise 2,P&C,Petrol & Convenience,DC-001,Brisbane Distribution Center,QLD,Surfers Paradise,"Single-serve, impulse buys, fuel-price sensitive",Bronze,SAP
