order_id,customer_id,product_id,order_date,quantity,line_revenue,channel,source_system
ORD-000001,CUST-0001,SKU-0031,2025-09-28,15,97.5,ecommerce,SAP
ORD-000005,CUST-0001,SKU-0031,2025-12-14,10,65.0,rep,SAP
ORD-000009,CUST-0001,SKU-0008,2026-01-10,19,39.9,ecommerce,SAP
ORD-000010,CUST-0001,SKU-0053,2026-01-10,5,21.0,rep,SAP
ORD-000022,CUST-0001,SKU-0029,2026-05-15,16,36.8,ecommerce,SAP
ORD-000026,CUST-0001,SKU-0010,2026-01-03,20,116.0,ecommerce,SAP
ORD-000035,CUST-0002,SKU-0049,2025-12-20,3,23.4,rep,SAP
ORD-000036,CUST-0002,SKU-0025,2025-12-20,11,38.5,ecommerce,SAP
ORD-000041,CUST-0002,SKU-0011,2025-09-04,6,19.2,ecommerce,SAP
ORD-000047,CUST-0002,SKU-0052,2026-07-10,16,80.0,rep,SAP
ORD-000049,CUST-0002,SKU-0049,2026-07-10,5,39.0,ecommerce,SAP
ORD-000052,CUST-0002,SKU-0050,2026-05-10,6,21.0,ecommerce,SAP
ORD-000054,CUST-0002,SKU-0053,2026-05-10,13,54.6,rep,SAP
ORD-000062,CUST-0002,SKU-0039,2026-02-21,15,48.0,rep,SAP
ORD-000066,CUST-0003,SKU-0051,2026-05-23,20,84.0,ecommerce,SAP
ORD-000070,CUST-0003,SKU-0052,2025-10-10,2,10.0,rep,SAP
ORD-000079,CUST-0004,SKU-0038,2026-05-21,12,66.0,rep,SAP
ORD-000083,CUST-0004,SKU-0055,2026-05-21,18,34.2,rep,SAP
ORD-000094,CUST-0004,SKU-0051,2026-03-15,18,75.6,rep,SAP
ORD-000108,CUST-0004,SKU-0004,2026-03-31,15,48.0,ecommerce,SAP
ORD-000115,CUST-0004,SKU-0050,2026-05-20,5,17.5,ecommerce,SAP
ORD-000119,CUST-0004,SKU-0007,2025-09-15,17,37.4,rep,SAP
ORD-000130,CUST-0005,SKU-0029,2025-10-28,8,18.4,ecommerce,SAP
ORD-000131,CUST-0005,SKU-0009,2026-08-07,2,19.0,ecommerce,SAP
ORD-000141,CUST-0005,SKU-0049,2026-05-03,16,124.8,ecommerce,SAP
ORD-000150,CUST-0005,SKU-0042,2026-03-22,14,100.8,ecommerce,SAP
ORD-000151,CUST-0005,SKU-0005,2026-03-22,13,44.2,ecommerce,SAP
ORD-000160,CUST-0005,SKU-0030,2026-07-28,6,13.8,rep,SAP
ORD-000162,CUST-0006,SKU-0031,2025-12-06,18,117.0,ecommerce,SAP
ORD-000167,CUST-0006,SKU-0029,2025-10-12,17,39.1,rep,SAP
ORD-000174,CUST-0006,SKU-0029,2026-04-01,11,25.3,rep,SAP
ORD-000177,CUST-0006,SKU-0010,2025-12-08,6,34.8,rep,SAP
ORD-000187,CUST-0006,SKU-0042,2026-02-10,15,108.0,ecommerce,SAP
ORD-000189,CUST-0007,SKU-0049,2026-01-21,19,148.2,ecommerce,SAP
ORD-000190,CUST-0007,SKU-0038,2026-01-21,19,104.5,ecommerce,SAP
ORD-000195,CUST-0007,SKU-0038,2026-06-25,17,93.5,rep,SAP
ORD-000201,CUST-0007,SKU-0031,2025-12-25,12,78.0,rep,SAP
ORD-000209,CUST-0007,SKU-0003,2026-07-07,6,23.4,ecommerce,SAP
ORD-000219,CUST-0008,SKU-0049,2025-12-05,17,132.6,rep,SAP
ORD-000220,CUST-0008,SKU-0045,2025-12-05,4,26.0,ecommerce,SAP
ORD-000221,CUST-0008,SKU-0039,2026-02-11,5,16.0,ecommerce,SAP
ORD-000222,CUST-0008,SKU-0050,2026-02-11,18,63.0,rep,SAP
ORD-000224,CUST-0008,SKU-0009,2026-02-11,19,180.5,ecommerce,SAP
ORD-000226,CUST-0008,SKU-0058,2026-04-30,19,98.8,ecommerce,SAP
ORD-000232,CUST-0008,SKU-0053,2025-10-15,12,50.4,ecommerce,SAP
ORD-000243,CUST-0008,SKU-0059,2025-10-22,2,4.0,ecommerce,SAP
ORD-000248,CUST-0008,SKU-0001,2025-09-16,7,31.5,rep,SAP
ORD-000250,CUST-0009,SKU-0030,2026-04-09,9,20.7,ecommerce,SAP
ORD-000256,CUST-0009,SKU-0058,2025-12-16,18,93.6,ecommerce,SAP
ORD-000258,CUST-0009,SKU-0004,2025-12-16,1,3.2,ecommerce,SAP
ORD-000267,CUST-0009,SKU-0051,2026-03-17,2,8.4,ecommerce,SAP
ORD-000273,CUST-0010,SKU-0022,2026-08-06,20,160.0,rep,SAP
ORD-000288,CUST-0010,SKU-0013,2025-12-11,16,46.4,ecommerce,SAP
ORD-000290,CUST-0010,SKU-0050,2026-01-17,13,45.5,ecommerce,SAP
ORD-000294,CUST-0010,SKU-0042,2026-03-11,13,93.6,ecommerce,SAP
ORD-000295,CUST-0010,SKU-0027,2026-03-11,18,75.6,ecommerce,SAP
ORD-000296,CUST-0010,SKU-0052,2026-03-11,18,90.0,ecommerce,SAP
ORD-000309,CUST-0011,SKU-0039,2025-08-09,4,12.8,ecommerce,SAP
ORD-000310,CUST-0011,SKU-0042,2026-05-04,4,28.8,ecommerce,SAP
ORD-000315,CUST-0011,SKU-0050,2026-02-21,15,52.5,ecommerce,SAP
ORD-000317,CUST-0011,SKU-0049,2026-05-21,16,124.8,ecommerce,SAP
ORD-000335,CUST-0012,SKU-0052,2026-03-27,16,80.0,rep,SAP
ORD-000337,CUST-0012,SKU-0028,2026-03-28,7,36.4,rep,SAP
ORD-000352,CUST-0012,SKU-0029,2026-06-29,11,25.3,ecommerce,SAP
ORD-000353,CUST-0012,SKU-0042,2026-06-29,6,43.2,rep,SAP
ORD-000357,CUST-0012,SKU-0009,2026-06-18,17,161.5,rep,SAP
ORD-000358,CUST-0012,SKU-0031,2026-06-18,19,123.5,ecommerce,SAP
