dc_id,product_id,on_hand_units,threshold_units,in_stock,source_system
DC-003,SKU-0017,173,47,true,SAP
DC-005,SKU-0020,465,11,true,SAP
DC-005,SKU-0022,51,49,true,SAP
DC-001,SKU-0035,119,36,true,SAP
DC-004,SKU-0037,180,47,true,SAP
DC-003,SKU-0044,162,30,true,SAP
DC-006,SKU-0049,126,25,true,SAP
DC-004,SKU-0052,466,49,true,SAP
DC-002,SKU-0053,78,49,true,SAP
DC-005,SKU-0010,200,22,true,SAP
DC-004,SKU-0012,445,24,true,SAP
DC-003,SKU-0028,448,31,true,SAP
DC-002,SKU-0011,290,34,true,SAP
DC-001,SKU-0020,418,43,true,SAP
DC-006,SKU-0029,316,23,true,SAP
DC-003,SKU-0031,443,23,true,SAP
DC-003,SKU-0019,249,16,true,SAP
DC-001,SKU-0021,221,36,true,SAP
DC-005,SKU-0028,252,37,true,SAP
DC-001,SKU-0034,52,43,true,SAP
DC-005,SKU-0034,491,45,true,SAP
DC-005,SKU-0037,463,20,true,SAP
DC-005,SKU-0049,254,44,true,SAP
DC-006,SKU-0006,317,46,true,SAP
DC-005,SKU-0018,420,14,true,SAP
DC-005,SKU-0019,489,36,true,SAP
DC-001,SKU-0039,378,48,true,SAP
DC-004,SKU-0047,245,46,true,SAP
DC-001,SKU-0056,356,28,true,SAP
DC-004,SKU-0002,452,11,true,SAP
DC-005,SKU-0002,445,49,true,SAP
DC-004,SKU-0017,96,50,true,SAP
DC-005,SKU-0017,397,22,true,SAP
DC-005,SKU-0032,483,41,true,SAP
DC-006,SKU-0033,205,45,true,SAP
DC-003,SKU-0004,320,10,true,SAP
DC-002,SKU-0018,379,30,true,SAP
DC-004,SKU-0029,71,22,true,SAP
DC-001,SKU-0036,281,11,true,SAP
DC-002,SKU-0040,376,46,true,SAP
DC-004,SKU-0050,70,11,true,SAP
DC-005,SKU-0050,476,20,true,SAP
DC-003,SKU-0007,131,11,true,SAP
DC-006,SKU-0026,222,36,true,SAP
DC-006,SKU-0042,335,40,true,SAP
DC-002,SKU-0058,132,46,true,SAP
DC-003,SKU-0059,153,39,true,SAP
DC-005,SKU-0060,55,23,true,SAP
DC-003,SKU-0016,0,10,false,SAP
DC-006,SKU-0032,267,45,true,SAP
DC-002,SKU-0054,258,21,true,SAP
DC-003,SKU-0056,79,38,true,SAP
DC-004,SKU-0005,243,22,true,SAP
DC-005,SKU-0016,282,43,true,SAP
DC-001,SKU-0031,431,23,true,SAP
DC-002,SKU-0022,185,28,true,SAP
DC-006,SKU-0030,87,30,true,SAP
DC-001,SKU-0044,420,24,true,SAP
DC-002,SKU-0056,250,20,true,SAP
DC-001,SKU-0013,334,42,true,SAP
DC-002,SKU-0026,358,42,true,SAP
DC-003,SKU-0033,318,26,true,SAP
DC-004,SKU-0039,95,43,true,SAP
DC-006,SKU-0053,87,30,true,SAP
DC-005,SKU-0026,190,31,true,SAP
DC-003,SKU-0058,408,48,true,SAP
DC-005,SKU-0058,61,35,true,SAP
DC-004,SKU-0059,168,15,true,SAP
DC-005,SKU-0006,421,20,true,SAP
DC-003,SKU-0020,144,23,true,SAP
DC-003,SKU-0034,225,29,true,SAP
DC-004,SKU-0041,105,21,true,SAP
DC-003,SKU-0042,336,13,true,SAP
DC-001,SKU-0049,210,46,true,SAP
DC-006,SKU-0002,448,50,true,SAP
DC-002,SKU-0004,113,45,true,SAP
DC-004,SKU-0006,366,28,true,SAP
DC-001,SKU-0037,196,46,true,SAP
DC-004,SKU-0053,91,28,true,SAP
DC-004,SKU-0055,193,27,true,SAP
DC-006,SKU-0007,238,43,true,SAP
DC-006,SKU-0019,448,45,true,SAP
DC-004,SKU-0015,211,17,true,SAP
DC-003,SKU-0026,125,14,true,SAP
DC-004,SKU-0035,364,17,true,SAP
DC-002,SKU-0045,437,11,true,SAP
DC-003,SKU-0051,272,48,true,SAP
DC-001,SKU-0017,328,13,true,SAP
DC-004,SKU-0025,437,36,true,SAP
DC-001,SKU-0030,234,34,true,SAP
DC-005,SKU-0030,400,39,true,SAP
DC-004,SKU-0034,171,40,true,SAP
DC-002,SKU-0046,362,37,true,SAP
DC-003,SKU-0013,475,27,true,SAP
DC-002,SKU-0050,485,42,true,SAP
DC-004,SKU-0001,77,36,true,SAP
DC-005,SKU-0009,493,12,true,SAP
DC-002,SKU-0034,279,22,true,SAP
DC-004,SKU-0043,65,38,true,SAP
DC-006,SKU-0055,275,38,true,SAP
DC-004,SKU-0013,219,18,true,SAP
DC-003,SKU-0029,268,11,true,SAP
DC-004,SKU-0038,343,34,true,SAP
DC-001,SKU-0025,294,31,true,SAP
DC-005,SKU-0045,226,36,true,SAP
DC-002,SKU-0049,222,17,true,SAP
DC-001,SKU-0001,0,10,false,SAP
DC-002,SKU-0001,332,12,true,SAP
DC-004,SKU-0003,187,13,true,SAP
DC-006,SKU-0018,92,49,true,SAP
DC-002,SKU-0027,180,12,true,SAP
DC-005,SKU-0055,58,41,true,SAP
DC-005,SKU-0056,440,36,true,SAP
DC-001,SKU-0010,453,24,true,SAP
DC-002,SKU-0020,54,10,true,SAP
DC-006,SKU-0025,467,20,true,SAP
DC-001,SKU-0045,386,45,true,SAP
DC-005,SKU-0059,117,30,true,SAP
DC-001,SKU-0009,199,50,true,SAP
DC-005,SKU-0011,455,27,true,SAP
DC-006,SKU-0011,491,28,true,SAP
DC-004,SKU-0021,318,10,true,SAP
DC-005,SKU-0036,412,14,true,SAP
DC-002,SKU-0059,149,22,true,SAP
DC-004,SKU-0016,414,48,true,SAP
DC-005,SKU-0041,479,24,true,SAP
DC-006,SKU-0046,440,32,true,SAP
DC-006,SKU-0059,233,20,true,SAP
DC-005,SKU-0003,112,35,true,SAP
DC-002,SKU-0017,360,22,true,SAP
DC-006,SKU-0020,350,16,true,SAP
DC-004,SKU-0026,172,38,true,SAP
DC-002,SKU-0028,372,11,true,SAP
DC-005,SKU-0039,201,19,true,SAP
DC-004,SKU-0058,84,26,true,SAP
DC-004,SKU-0009,437,28,true,SAP
DC-004,SKU-0022,111,36,true,SAP
DC-004,SKU-0023,89,29,true,SAP
DC-002,SKU-0025,479,11,true,SAP
DC-003,SKU-0030,95,11,true,SAP
DC-001,SKU-0006,174,19,true,SAP
DC-002,SKU-0007,258,29,true,SAP
DC-002,SKU-0008,103,29,true,SAP
DC-002,SKU-0024,377,46,true,SAP
DC-005,SKU-0040,102,28,true,SAP
DC-006,SKU-0004,488,21,true,SAP
DC-006,SKU-0021,220,40,true,SAP
DC-005,SKU-0031,232,13,true,SAP
DC-001,SKU-0040,346,34,true,SAP
DC-004,SKU-0044,393,48,true,SAP
DC-001,SKU-0052,307,22,true,SAP
DC-006,SKU-0009,145,35,true,SAP
DC-006,SKU-0034,427,43,true,SAP
DC-003,SKU-0043,284,36,true,SAP
DC-001,SKU-0046,122,46,true,SAP
DC-001,SKU-0050,350,29,true,SAP
DC-003,SKU-0015,181,47,true,SAP
DC-006,SKU-0028,272,12,true,SAP
DC-003,SKU-0039,431,39,true,SAP
DC-006,SKU-0051,109,34,true,SAP
DC-006,SKU-0056,393,18,true,SAP
DC-006,SKU-0012,238,25,true,SAP
DC-003,SKU-0024,196,16,true,SAP
DC-004,SKU-0033,198,12,true,SAP
DC-006,SKU-0044,316,18,true,SAP
DC-003,SKU-0049,178,22,true,SAP
DC-003,SKU-0008,448,26,true,SAP
DC-006,SKU-0015,463,19,true,SAP
DC-004,SKU-0019,286,42,true,SAP
DC-004,SKU-0040,219,46,true,SAP
DC-005,SKU-0046,257,47,true,SAP
DC-002,SKU-0002,335,39,true,SAP
DC-001,SKU-0003,488,43,true,SAP
DC-001,SKU-0028,474,33,true,SAP
DC-002,SKU-0038,369,50,true,SAP
DC-003,SKU-0038,265,49,true,SAP
DC-002,SKU-0023,362,32,true,SAP
